Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673327359,2023-01-10T05:09:19Z,RYR93XH,"40.460369,-3.568619",0,0,270
1673327425,2023-01-10T05:10:25Z,RYR93XH,"40.460358,-3.568405",0,3,272
1673327437,2023-01-10T05:10:37Z,RYR93XH,"40.460365,-3.5682",0,3,270
1673327451,2023-01-10T05:10:51Z,RYR93XH,"40.460358,-3.567993",0,3,286
1673327464,2023-01-10T05:11:04Z,RYR93XH,"40.460323,-3.56778",0,2,303
1673327491,2023-01-10T05:11:31Z,RYR93XH,"40.460178,-3.567576",0,2,354
1673327649,2023-01-10T05:14:09Z,RYR93XH,"40.4604,-3.567592",0,5,357
1673327656,2023-01-10T05:14:16Z,RYR93XH,"40.460609,-3.567592",0,7,19
1673327663,2023-01-10T05:14:23Z,RYR93XH,"40.460831,-3.567592",0,8,5
1673327668,2023-01-10T05:14:28Z,RYR93XH,"40.461052,-3.567592",0,10,5
1673327674,2023-01-10T05:14:34Z,RYR93XH,"40.461342,-3.567592",0,11,5
1673327678,2023-01-10T05:14:38Z,RYR93XH,"40.461563,-3.567592",0,11,2
1673327683,2023-01-10T05:14:43Z,RYR93XH,"40.461857,-3.567581",0,11,5
1673327688,2023-01-10T05:14:48Z,RYR93XH,"40.46209,-3.567451",0,10,33
1673327692,2023-01-10T05:14:52Z,RYR93XH,"40.462166,-3.567245",0,10,61
1673327696,2023-01-10T05:14:56Z,RYR93XH,"40.462189,-3.567001",0,10,84
1673327700,2023-01-10T05:15:00Z,RYR93XH,"40.4622,-3.566772",0,10,87
1673327703,2023-01-10T05:15:03Z,RYR93XH,"40.462215,-3.566562",0,11,81
1673327707,2023-01-10T05:15:07Z,RYR93XH,"40.462292,-3.566345",0,11,61
1673327712,2023-01-10T05:15:12Z,RYR93XH,"40.462509,-3.566132",0,11,28
1673327716,2023-01-10T05:15:16Z,RYR93XH,"40.462727,-3.566078",0,11,8
1673327722,2023-01-10T05:15:22Z,RYR93XH,"40.46302,-3.566062",0,12,2
1673327727,2023-01-10T05:15:27Z,RYR93XH,"40.463356,-3.566025",0,14,2
1673327731,2023-01-10T05:15:31Z,RYR93XH,"40.463623,-3.566",0,15,2
1673327735,2023-01-10T05:15:35Z,RYR93XH,"40.463879,-3.565984",0,15,2
1673327741,2023-01-10T05:15:41Z,RYR93XH,"40.46434,-3.565948",0,16,2
1673327748,2023-01-10T05:15:48Z,RYR93XH,"40.464855,-3.565903",0,18,2
1673327753,2023-01-10T05:15:53Z,RYR93XH,"40.465359,-3.565872",0,19,2
1673327759,2023-01-10T05:15:59Z,RYR93XH,"40.465916,-3.565813",0,19,2
1673327766,2023-01-10T05:16:06Z,RYR93XH,"40.466503,-3.565765",0,19,2
1673327771,2023-01-10T05:16:11Z,RYR93XH,"40.467007,-3.565735",0,18,2
1673327778,2023-01-10T05:16:18Z,RYR93XH,"40.467533,-3.565689",0,18,2
1673327784,2023-01-10T05:16:24Z,RYR93XH,"40.468094,-3.565643",0,18,2
1673327789,2023-01-10T05:16:29Z,RYR93XH,"40.468529,-3.565613",0,18,2
1673327795,2023-01-10T05:16:35Z,RYR93XH,"40.469048,-3.565578",0,18,2
1673327802,2023-01-10T05:16:42Z,RYR93XH,"40.469559,-3.565552",0,17,359
1673327804,2023-01-10T05:16:44Z,RYR93XH,"40.469788,-3.565552",0,18,357
1673327807,2023-01-10T05:16:47Z,RYR93XH,"40.470058,-3.565594",0,18,354
1673327811,2023-01-10T05:16:51Z,RYR93XH,"40.470337,-3.565643",0,19,348
1673327813,2023-01-10T05:16:53Z,RYR93XH,"40.470562,-3.565735",0,19,343
1673327816,2023-01-10T05:16:56Z,RYR93XH,"40.470806,-3.565842",0,19,337
1673327819,2023-01-10T05:16:59Z,RYR93XH,"40.471069,-3.565994",0,18,334
1673327822,2023-01-10T05:17:02Z,RYR93XH,"40.471294,-3.566171",0,18,329
1673327826,2023-01-10T05:17:06Z,RYR93XH,"40.471516,-3.566374",0,17,323
1673327829,2023-01-10T05:17:09Z,RYR93XH,"40.47171,-3.566589",0,17,320
1673327832,2023-01-10T05:17:12Z,RYR93XH,"40.471958,-3.566827",0,18,323
1673327835,2023-01-10T05:17:15Z,RYR93XH,"40.472179,-3.567045",0,18,323
1673327839,2023-01-10T05:17:19Z,RYR93XH,"40.472412,-3.56728",0,18,320
1673327845,2023-01-10T05:17:25Z,RYR93XH,"40.472843,-3.567732",0,19,323
1673327851,2023-01-10T05:17:31Z,RYR93XH,"40.473282,-3.568169",0,19,323
1673327857,2023-01-10T05:17:37Z,RYR93XH,"40.473679,-3.568573",0,18,323
1673327863,2023-01-10T05:17:43Z,RYR93XH,"40.474098,-3.568996",0,17,323
1673327869,2023-01-10T05:17:49Z,RYR93XH,"40.474518,-3.569417",0,17,320
1673327875,2023-01-10T05:17:55Z,RYR93XH,"40.474926,-3.569855",0,18,323
1673327881,2023-01-10T05:18:01Z,RYR93XH,"40.475342,-3.57026",0,18,323
1673327886,2023-01-10T05:18:06Z,RYR93XH,"40.475693,-3.570619",0,18,323
1673327892,2023-01-10T05:18:12Z,RYR93XH,"40.476112,-3.57104",0,18,323
1673327899,2023-01-10T05:18:19Z,RYR93XH,"40.476532,-3.571477",0,18,323
